index,lat,lon,alt,heading,pitch,roll,yaw
254,20.6538366667,-103.7946733333,2121.0,272.0,2.76,1.55,-94.82
255,20.65385,-103.7948983333,2122.0,273.0,2.87,1.73,-95.16
256,20.65386,-103.7950666667,2123.0,273.0,2.12,0.53,-97.85
257,20.6538766667,-103.79535,2123.0,273.0,1.85,-2.01,-98.35
258,20.6538816667,-103.7954633333,2124.0,272.0,1.57,-0.64,-97.16
259,20.6538933333,-103.7957466667,2124.0,272.0,2.0,-0.42,-97.09
260,20.6539,-103.7959166667,2124.0,271.0,1.96,-1.65,-97.78
261,20.653905,-103.7962016667,2125.0,271.0,1.55,-1.56,-100.29
262,20.6539066667,-103.79643,2124.0,270.0,1.92,0.9,-101.35
263,20.6539066667,-103.7966,2124.0,270.0,1.58,-2.45,-102.25
264,20.6539066667,-103.796715,2125.0,269.0,1.46,-0.41,-102.55
265,20.6539033333,-103.7970016667,2125.0,268.0,1.51,0.94,-102.61
266,20.6539,-103.797175,2125.0,268.0,1.48,0.1,-100.3
267,20.65389,-103.79758,2126.0,268.0,1.59,1.31,-96.96
268,20.65389,-103.7976966667,2126.0,269.0,2.07,2.58,-94.75
269,20.6538883333,-103.7978716667,2126.0,270.0,2.11,1.52,-95.16
270,20.6538916667,-103.7981633333,2126.0,270.0,1.07,-0.51,-100.15
271,20.65389,-103.7984583333,2128.0,269.0,-0.1,-2.13,-102.08
272,20.65389,-103.7985766667,2128.0,268.0,0.05,-1.42,-100.88
273,20.6538816667,-103.798875,2128.0,268.0,0.6,0.89,-101.31
274,20.6538783333,-103.799055,2129.0,268.0,-0.23,0.4,-99.59
275,20.6538716667,-103.7992983333,2129.0,268.0,0.35,1.81,-97.3
276,20.653865,-103.7996016667,2130.0,268.0,0.32,1.47,-97.59
277,20.65386,-103.7997866667,2130.0,268.0,0.13,1.75,-97.92
278,20.6538583333,-103.79991,2130.0,268.0,0.11,0.34,-97.22
279,20.6538533333,-103.80022,2130.0,269.0,0.04,0.94,-97.9
280,20.6538483333,-103.80053,2130.0,268.0,0.16,0.59,-98.95
281,20.6538466667,-103.800655,2130.0,268.0,0.13,-0.26,-99.79
282,20.65384,-103.80097,2129.0,268.0,0.45,-0.1,-99.81
283,20.6538366667,-103.8011566667,2129.0,268.0,0.65,-0.22,-100.19
284,20.6538283333,-103.80147,2129.0,268.0,0.37,0.06,-99.76
285,20.653825,-103.801595,2128.0,268.0,0.31,0.26,-99.55
286,20.6538166667,-103.8019066667,2128.0,268.0,0.37,0.3,-99.69
287,20.6538116667,-103.8020933333,2128.0,268.0,0.34,-0.09,-100.13
288,20.653805,-103.80234,2128.0,268.0,0.51,-0.56,-100.42
289,20.6537933333,-103.8026483333,2128.0,267.0,0.15,-0.59,-100.38
290,20.6537866667,-103.8028316667,2128.0,267.0,0.36,-0.5,-99.59
291,20.6537733333,-103.80314,2128.0,267.0,0.19,1.01,-99.7
292,20.6537683333,-103.8032616667,2128.0,267.0,-0.61,0.15,-99.15
293,20.653755,-103.8035683333,2130.0,267.0,-0.87,-0.21,-98.68
294,20.65374,-103.8038766667,2131.0,267.0,-0.53,0.23,-99.49
295,20.653735,-103.804,2131.0,267.0,-1.02,-1.23,-100.07
296,20.6537183333,-103.8043066667,2131.0,266.0,-0.64,-0.12,-100.29
297,20.6537066667,-103.8044916667,2131.0,266.0,-0.75,0.21,-102.33
298,20.65369,-103.8048,2131.0,266.0,-0.15,-1.04,-102.19
299,20.6536816667,-103.8049216667,2131.0,266.0,-0.43,0.4,-102.1
300,20.6536616667,-103.8052283333,2131.0,266.0,-0.39,0.28,-102.54
301,20.6536316667,-103.8056566667,2130.0,265.0,-0.38,0.34,-102.75
302,20.6536316667,-103.8056566667,2130.0,265.0,-0.3,0.43,-102.57
303,20.6536,-103.8061433333,2129.0,265.0,-0.43,-2.19,-109.51
304,20.65359,-103.8062633333,2129.0,264.0,-1.51,-4.46,-115.51
305,20.6535516667,-103.8065583333,2128.0,261.0,-1.46,-6.92,-117.34
306,20.6534983333,-103.8068466667,2128.0,257.0,-0.94,-6.49,-117.87
307,20.6534716667,-103.80696,2128.0,256.0,-1.06,-7.1,-121.57
308,20.6533966667,-103.807235,2127.0,252.0,-1.37,-8.79,-125.89
309,20.6533416667,-103.807395,2127.0,249.0,-1.56,-8.26,-128.02
310,20.6532366667,-103.8076516667,2127.0,245.0,-0.79,-6.11,-129.66
311,20.6531916667,-103.80775,2127.0,243.0,-0.36,-7.08,-131.95
312,20.6530666667,-103.80799,2127.0,239.0,-0.6,-8.25,-135.61
313,20.6530116667,-103.8080816667,2127.0,236.0,-0.78,-7.83,-139.3
314,20.652865,-103.8083016667,2127.0,232.0,-0.86,-9.04,-142.29
315,20.652705,-103.8085033333,2127.0,227.0,-0.71,-9.32,-145.03
316,20.6526,-103.808615,2127.0,224.0,-0.91,-9.22,-148.8
317,20.6525283333,-103.8086866667,2127.0,222.0,-0.6,-9.08,-150.52
318,20.65234,-103.80885,2127.0,217.0,-0.63,-7.79,-153.53
319,20.6521416667,-103.808995,2127.0,212.0,-0.74,-7.93,-156.34
320,20.65206,-103.8090483333,2127.0,210.0,-0.79,-6.29,-159.37
321,20.6518483333,-103.8091683333,2127.0,206.0,-0.96,-5.34,-161.27
322,20.6517183333,-103.8092333333,2127.0,204.0,-0.92,-5.11,-162.85
323,20.651495,-103.8093283333,2127.0,200.0,-0.86,-4.71,-165.59
324,20.6512666667,-103.8094083333,2127.0,196.0,-1.25,-5.82,-168.09
325,20.6511733333,-103.809435,2127.0,195.0,-1.13,-5.44,-170.07
326,20.650935,-103.8094916667,2127.0,191.0,-0.76,-4.42,-171.2
327,20.6508366667,-103.80951,2127.0,189.0,-0.45,-3.32,-171.97
328,20.6505916667,-103.8095466667,2128.0,187.0,-0.08,-3.27,-170.76
329,20.6504433333,-103.8095633333,2128.0,185.0,-0.4,-3.24,-169.6
330,20.6500916667,-103.8095916667,2129.0,183.0,0.32,0.38,-167.01
331,20.64994,-103.809605,2130.0,184.0,0.16,0.68,-167.13
332,20.6497366667,-103.80962,2130.0,184.0,0.19,-0.8,-168.22
333,20.6494833333,-103.8096383333,2130.0,183.0,0.06,0.24,-168.46
334,20.64933,-103.80965,2131.0,183.0,-0.21,0.45,-168.72
335,20.6490716667,-103.8096666667,2131.0,183.0,-0.32,0.26,-168.37
336,20.648815,-103.809685,2132.0,183.0,-0.38,0.29,-168.16
337,20.64871,-103.80969,2132.0,183.0,-0.5,-0.65,-170.74
338,20.64845,-103.809705,2133.0,182.0,-0.94,-1.58,-173.01
339,20.648345,-103.80971,2133.0,182.0,-0.99,-2.2,-174.61
